,ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index,Years of life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income per capita,Endangered,Rank,Population,Government,Republic,Constitutional monarchy,Provisional,Absolute monarchy,% speakers
39,2175.0,Lishanid Noshan (Israel),Israel,ISR,aij,Severely endangered,3000,31.7188,34.7772,19.0,0.919,83.0,16.2,13.0,40.187,1,95,9318940,Republic,1,0,0,0,0.00032192502580765623
40,2176.0,Barzani Jewish Neo-Aramaic (Israel),Israel,ISR,bjf,Critically endangered,20,31.7888,35.1947,19.0,0.919,83.0,16.2,13.0,40.187,1,95,9318940,Republic,1,0,0,0,2.146166838717708e-06
41,1586.0,Gondi,India,IND,gon,Vulnerable,2713790,19.5804,80.4418,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0019750677195888664
42,1565.0,Kumaoni,India,"IND, NPL",kfy,Vulnerable,2003783,29.4778,79.8486,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0014583321186830733
43,1591.0,Kurux (India),India,IND,kru,Vulnerable,1751489,22.1467,85.2758,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0012747152082935613
44,1585.0,Tulu,India,IND,tcy,Vulnerable,1722768,12.0178,75.7067,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0012538123676263352
45,1556.0,Kangdi,India,IND,xnr,Definitely endangered,1700000,32.4356,76.1242,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.0012372420575287966
46,1227.0,Meithei,India,IND,mni,Vulnerable,1250000,24.7667,93.8946,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.000909736807006468
47,1114.0,Tamang,India,"IND, NPL","taj, tge, tmk, tsf, tdg",Vulnerable,1196639,27.7365,85.6858,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0008709012343995303
48,1577.0,Kui,India,IND,kxu,Vulnerable,916222,19.5908,83.9575,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0006668167014312641
49,1231.0,Khasi,India,IND,kha,Vulnerable,912000,25.691,91.8676,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0006637439743919191
50,1229.0,Bodo,India,IND,brx,Vulnerable,900000,26.7554,92.8674,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.000655010501044657
51,1211.0,Mundari,India,IND,muw,Vulnerable,750000,22.3297,86.0449,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0005458420842038808
52,1202.0,Angika,India,"IND, NPL",anp,Vulnerable,740892,24.7451,85.3124,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0005392133779333089
53,1559.0,Mandeali,India,IND,mjl,Definitely endangered,611930,31.4099,76.9921,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.00044535619544917437
54,1091.0,Mising,India,IND,mrg,Definitely endangered,550000,26.9612,94.0539,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.0004002841950828459
55,1230.0,Mizo,India,IND,lus,Vulnerable,529000,22.9988,92.9223,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00038500061672513725
56,1558.0,Mahasui,India,IND,bfz,Definitely endangered,496024,31.2738,77.1295,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.000361001031966861
57,1165.0,Karbi,India,IND,mjw,Vulnerable,420000,26.2934,93.2299,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00030567156715417327
58,1212.0,Ho,India,IND,hoc,Vulnerable,400000,21.637,86.4404,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00029111577824206974
59,1574.0,Kurru,India,IND,yeu,Definitely endangered,300000,16.6151,81.6284,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.00021833683368155233
60,1578.0,Kuvi,India,IND,kxv,Definitely endangered,300000,18.9478,83.5839,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.00021833683368155233
61,1028.0,Limbu,India,"IND, NPL",lif,Definitely endangered,300000,27.096,87.7356,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.00021833683368155233
62,1563.0,Garhwali,India,IND,gbm,Vulnerable,279500,30.0976,79.1235,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00020341715004664626
63,1205.0,Sora,India,IND,srb,Vulnerable,250000,19.1244,83.2104,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.0001819473614012936
64,1119.0,Konyak,India,IND,nbe,Vulnerable,248000,26.9367,95.1745,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00018049178251008325
65,1130.0,Ao,India,IND,ngo,Vulnerable,243000,26.4361,94.6472,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00017685283528205738
66,1592.0,Malto,India,IND,kmj,Definitely endangered,224926,23.7853,85.4736,131.0,0.645,69.7,12.2,6.5,6.681,1,2,1374023773,Republic,1,0,0,0,0.00016369876884218945
67,1570.0,Irula,India,IND,iru,Vulnerable,200000,11.4369,76.5032,131.0,0.645,69.7,12.2,6.5,6.681,0,2,1374023773,Republic,1,0,0,0,0.00014555788912103487
