ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index(HDI-2019),Life expectancy at birth (years) SDG3,Expected years of schooling (years) SDG 4.3,Mean years of schooling (years) SDG 4.6,Gross national income (GNI) per capita (PPP $) SDG 8.5,Endangered,Rank,Population,Government
1591.0,Kurux (India),India,IND,kru,Vulnerable,1751489.0,22.1467,85.2758,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1585.0,Tulu,India,IND,tcy,Vulnerable,1722768.0,12.0178,75.7067,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1556.0,Kangdi,India,IND,xnr,Definitely endangered,1700000.0,32.4356,76.1242,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1227.0,Meithei,India,IND,mni,Vulnerable,1250000.0,24.7667,93.8946,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1114.0,Tamang,India,"IND, NPL","taj, tge, tmk, tsf, tdg",Vulnerable,1196639.0,27.7365,85.6858,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1577.0,Kui,India,IND,kxu,Vulnerable,916222.0,19.5908,83.9575,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1231.0,Khasi,India,IND,kha,Vulnerable,912000.0,25.691,91.8676,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1229.0,Bodo,India,IND,brx,Vulnerable,900000.0,26.7554,92.8674,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1211.0,Mundari,India,IND,muw,Vulnerable,750000.0,22.3297,86.0449,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1202.0,Angika,India,"IND, NPL",anp,Vulnerable,740892.0,24.7451,85.3124,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1559.0,Mandeali,India,IND,mjl,Definitely endangered,611930.0,31.4099,76.9921,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1091.0,Mising,India,IND,mrg,Definitely endangered,550000.0,26.9612,94.0539,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1230.0,Mizo,India,IND,lus,Vulnerable,529000.0,22.9988,92.9223,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1558.0,Mahasui,India,IND,bfz,Definitely endangered,496024.0,31.2738,77.1295,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1165.0,Karbi,India,IND,mjw,Vulnerable,420000.0,26.2934,93.2299,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1212.0,Ho,India,IND,hoc,Vulnerable,400000.0,21.636999999999997,86.4404,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1574.0,Kurru,India,IND,yeu,Definitely endangered,300000.0,16.6151,81.6284,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1578.0,Kuvi,India,IND,kxv,Definitely endangered,300000.0,18.9478,83.5839,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1028.0,Limbu,India,"IND, NPL",lif,Definitely endangered,300000.0,27.096,87.7356,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1563.0,Garhwali,India,IND,gbm,Vulnerable,279500.0,30.0976,79.1235,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1205.0,Sora,India,IND,srb,Vulnerable,250000.0,19.1244,83.2104,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1119.0,Konyak,India,IND,nbe,Vulnerable,248000.0,26.9367,95.1745,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1130.0,Ao,India,IND,ngo,Vulnerable,243000.0,26.4361,94.6472,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1592.0,Malto,India,IND,kmj,Definitely endangered,224926.0,23.7853,85.4736,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1570.0,Irula,India,IND,iru,Vulnerable,200000.0,11.4369,76.5032,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1204.0,Kharia,India,IND,khr,Vulnerable,200000.0,21.8003,85.4956,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1210.0,Korku,India,IND,kfq,Vulnerable,200000.0,20.3034,80.2441,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1161.0,Thado,India,IND,tcz,Vulnerable,191000.0,24.4521,93.2354,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1557.0,Kului,India,IND,kfx,Definitely endangered,170770.0,31.4403,77.1487,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1132.0,Lhota,India,IND,njh,Vulnerable,170000.0,26.1603,94.3725,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
977.0,Nyishi,India,IND,dap,Vulnerable,170000.0,27.5277,93.0981,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1582.0,Kodagu,India,IND,kfa,Definitely endangered,166187.0,11.6952,75.9375,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1174.0,Rabha,India,IND,rah,Vulnerable,150000.0,25.9284,90.9777,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1154.0,Tangkhul,India,IND,nmf,Vulnerable,142000.0,25.0358,94.4824,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1569.0,Badaga,India,IND,bfq,Definitely endangered,134514.0,11.3642,76.5266,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1140.0,Angami,India,IND,njm,Vulnerable,132000.0,25.7553,94.1308,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1553.0,Chambeali,India,IND,cdh,Definitely endangered,126589.0,32.9072,76.5307,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1129.0,Phom,India,IND,nph,Vulnerable,123000.0,26.7799,94.9493,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1588.0,Kolami,India,IND,kfb,Definitely endangered,121855.0,20.5093,78.1787,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1590.0,Konda,India,IND,kfc,Definitely endangered,118597.0,18.2763,82.9385,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1564.0,Jaunsari,India,IND,jns,Definitely endangered,114733.0,30.4859,78.0908,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1167.0,Dimasa,India,IND,dis,Vulnerable,112000.0,24.7368,92.9003,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1136.0,Simi,India,IND,nsm,Vulnerable,104000.0,25.9777,94.5922,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1162.0,Kabui,India,IND,nkf,Vulnerable,95000.0,24.7218,93.6584,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1135.0,Yimchungru,India,IND,yim,Vulnerable,92000.0,25.9629,94.9713,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1141.0,Chokri,India,IND,nri,Vulnerable,84000.0,25.8691,94.7131,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1133.0,Sangtam,India,IND,nsa,Vulnerable,84000.0,26.6032,94.9603,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1144.0,Mao,India,IND,nbi,Vulnerable,81000.0,25.5027,94.2681,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1567.0,Bhadravahi,India,"IND, PAK",bhd,Definitely endangered,66918.0,33.5413,76.333,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1562.0,Kinnauri,India,IND,"kns, kfk, cif, tpq",Definitely endangered,65097.0,31.541,78.3764,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1131.0,Chang,India,IND,nbc,Vulnerable,62000.0,26.2934,94.9493,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1554.0,Churahi,India,IND,cdj,Definitely endangered,61199.0,33.1835,76.5747,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1155.0,Nruanghmei,India,IND,nbu,Vulnerable,61000.0,24.9661,93.5375,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1139.0,Rengma,India,IND,"nnl, nre",Vulnerable,61000.0,25.958000000000002,94.2462,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1186.0,Kachari,India,IND,xac,Definitely endangered,59000.0,25.2844,93.2189,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1587.0,Parji,India,IND,pci,Critically endangered,51216.0,18.5629,82.8039,131.0,0.645,69.7,12.2,6.5,6.681,1.0,2,1374023773.0,Republic
1232.0,Hmar,India,IND,hmr,Vulnerable,50000.0,24.576999999999998,93.3178,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1159.0,Paite,India,IND,"pck, smt",Vulnerable,50000.0,24.1968,93.3563,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1108.0,Wancho,India,IND,nnp,Vulnerable,49000.0,26.9759,95.4656,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1213.0,Bhumji,India,IND,bij,Vulnerable,47000.0,21.8003,86.8139,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1143.0,Kheza,India,IND,nkh,Vulnerable,41000.0,25.6811,94.367,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1208.0,Gutob,India,IND,gbj,Vulnerable,40000.0,18.7086,83.5839,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
986.0,Minyong,India,IND,adi,Vulnerable,40000.0,28.2632,95.0537,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1104.0,Tangsa,India,IND,nst,Vulnerable,40000.0,27.4059,96.427,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1134.0,Khiamngan,India,IND,nky,Vulnerable,38000.0,26.0518,95.1031,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
1151.0,Maram,India,IND,nma,Vulnerable,37000.0,25.185,93.9715,131.0,0.645,69.7,12.2,6.5,6.681,0.0,2,1374023773.0,Republic
